Location name,Amount spent (DKK)
Capital Region of Denmark,57255
Central Denmark Region,31053
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14492
Region of Southern Denmark,29691
Unknown,≤100
Zealand Region,18990
