Location name,Amount spent (DKK)
Capital Region of Denmark,38294
Central Denmark Region,17800
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8127
Region of Southern Denmark,15702
Unknown,≤100
Zealand Region,12016
