Location name,Amount spent (HUF)
Baranya County,256179
Borsod-Abaúj-Zemplén County,352476
Budapest,1341646
Bács-Kiskun County,323669
Békés County,205185
Csongrád County,266217
Fejér County,270047
Győr-Moson-Sopron County,301129
Hajdú-Bihar County,311268
Heves County,182332
Jász-Nagykun-Szolnok County,222997
Komárom-Esztergom County,204235
Nógrád County,98604
Pest County,760232
Somogy County,180442
Szabolcs-Szatmár-Bereg County,290028
Tolna County,147146
Unknown,174
Vas County,162479
Veszprém County,213907
Zala County,183993
