Location name,Amount spent (PYG)
Alto Paraguay Department,1839
Alto Paraná Department,331760
Amambay Department,12688
Asunción,257257
Boquerón department,7297
Caaguazú Department,126448
Caazapá Department,17415
Canindeyú Department,20923
Central Department,744962
Concepción Department (Paraguay),22398
Cordillera Department,34620
Guairá Department,96692
Itapúa Department,45967
Misiones Department,23309
Paraguarí Department,27398
Presidente Hayes Department,12877
San Pedro Department,29985
Unknown,≤100
Ñeembucú Department,7548
