Location name,Amount spent (HUF)
Baranya County,157045
Borsod-Abaúj-Zemplén County,236150
Budapest,862213
Bács-Kiskun County,205654
Békés County,148017
Csongrád County,183133
Fejér County,189265
Győr-Moson-Sopron County,255457
Hajdú-Bihar County,197678
Heves County,184161
Jász-Nagykun-Szolnok County,151832
Komárom-Esztergom County,131002
Nógrád County,81438
Pest County,438846
Somogy County,125047
Szabolcs-Szatmár-Bereg County,200434
Tolna County,96332
Unknown,194
Vas County,114173
Veszprém County,143382
Zala County,120760
