Location name,Amount spent (DKK)
Capital Region of Denmark,71069
Central Denmark Region,28433
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13677
Region of Southern Denmark,28357
Unknown,≤100
Zealand Region,17169
