Location name,Amount spent (ISK)
Capital Region,28861
Eastern Region,1290
Northeastern Region,2982
Northwestern Region,603
Southern Peninsula,2422
Southern Region,2571
Unknown,≤100
Western Region,871
Westfjords,1493
