Location name,Amount spent (GTQ)
Alta Verapaz Department,128
Baja Verapaz Department,≤100
Chimaltenango Department,120
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,197
Guatemala Department,16727
Huehuetenango Department,212
Izabal Department,151
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,238
Quiché Department,145
Retalhuleu Department,≤100
Sacatepéquez Department,107
San Marcos Department,504
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,115
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
