Location name,Amount spent (THB)
Amnat Charoen,2484
Ang Thong,1590
Ayutthaya,6696
Bangkok,226955
Bueng Kan,1263
Buriram,6045
Chachoengsao,4858
Chai Nat,2105
Chaiyaphum,4712
Chanthaburi,7743
Chiang Mai,79638
Chiang Rai,9819
Chon Buri,38741
Chumphon,3573
Kalasin,2806
Kamphaeng Phet,2487
Kanchanaburi,13384
Khon Kaen,19847
Krabi,8993
Lampang,5708
Lamphun,2900
Loei,2154
Lop Buri,4038
Mae Hong Son,5596
Maha Sarakham,3427
Mukdahan,1263
Nakhon Nayok,2529
Nakhon Pathom,7940
Nakhon Phanom,2802
Nakhon Ratchasima,18460
Nakhon Sawan,3644
Nakhon Si Thammarat,12391
Nan,1642
Narathiwat,2148
Nong Bua Lam Phu,2165
Nong Khai,2594
Nonthaburi,15648
Pathum Thani,19796
Pattani,4619
Phangnga,2763
Phatthalung,4569
Phayao,3668
Phetchabun,4880
Phetchaburi,2829
Phichit,2447
Phitsanulok,18359
Phrae,1763
Phuket,20880
Prachin Buri,2671
Prachuap Khiri Khan,3069
Ranong,1226
Ratchaburi,7394
Rayong,9116
Roi Et,4958
Sa Kaeo,2875
Sakon Nakhon,5394
Samut Prakan,16050
Samut Sakhon,10698
Samut Songkhram,4623
Saraburi,5967
Satun,1703
Sing Buri,1269
Sisaket,5044
Songkhla,24528
Sukhothai,3556
Suphan Buri,4719
Surat Thani,19628
Surin,4800
Tak,1962
Trang,9039
Trat,2206
Ubon Ratchathani,8222
Udon Thani,9285
Unknown,≤100
Uthai Thani,1159
Uttaradit,1439
Yala Province,3277
Yasothon,3952
