Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1090
Bicol Region,11771
Cagayan Valley,3969
Calabarzon,24633
Caraga,2332
Central Luzon,15413
Central Visayas,11662
Cordillera Administrative Region,1856
Davao Region,7261
Eastern Visayas,4936
Ilocos Region,5777
Metro Manila,39993
Mimaropa,3729
Northern Mindanao,5536
Soccsksargen,4013
Unknown,≤100
Western Visayas,10075
Zamboanga Peninsula,4158
