Location name,Amount spent (COP)
Amazonas,1101
Antioquia,12587609
Arauca,11353
Atlantico,1032627
Bolivar,219077
Boyaca,268666
Caldas,238327
Caqueta,73863
Casanare,124032
Cauca,184080
Cesar,640258
Choco,17516
Cordoba,314772
Cundinamarca,557982
Distrito Especial,2185687
Guainia,709
Guaviare,34232
Huila,588966
La Guajira,56988
Magdalena,255693
Meta,503899
Narino,54653
Norte de Santander,706703
Putumayo,38056
Quindio,127193
Risaralda,735547
San Andres y Providencia,3189
Santander,942870
Sucre,259236
Tolima,166501
Unknown,171
Valle del Cauca,2932778
Vaupes,182
Vichada,436
