Location name,Amount spent (PYG)
Alto Paraguay Department,8544
Alto Paraná Department,236652
Amambay Department,13051
Asunción,235243
Boquerón department,10320
Caaguazú Department,116023
Caazapá Department,5840
Canindeyú Department,11102
Central Department,1433832
Concepción Department (Paraguay),14927
Cordillera Department,32309
Guairá Department,19952
Itapúa Department,55392
Misiones Department,78800
Paraguarí Department,13909
Presidente Hayes Department,14825
San Pedro Department,14509
Unknown,≤100
Ñeembucú Department,100960
