Location name,Amount spent (HUF)
Baranya County,48260
Borsod-Abaúj-Zemplén County,54647
Budapest,336038
Bács-Kiskun County,59265
Békés County,38069
Csongrád County,104293
Fejér County,50186
Győr-Moson-Sopron County,49556
Hajdú-Bihar County,66365
Heves County,49620
Jász-Nagykun-Szolnok County,47973
Komárom-Esztergom County,32545
Nógrád County,19913
Pest County,111605
Somogy County,29480
Szabolcs-Szatmár-Bereg County,40858
Tolna County,23831
Unknown,≤100
Vas County,29393
Veszprém County,37250
Zala County,40591
