Location name,Amount spent (CLP)
Antofagasta Region,107707
Araucanía Region,126783
Arica y Parinacota Region,40767
Atacama Region,42357
Aysén Region,22142
Bío Bío Region,283739
Coquimbo Region,132236
Los Lagos Region,167119
Los Ríos Region,42602
Magallanes y la Antártica Chilena Region,24031
Maule Region,121871
O'Higgins Region,109015
Santiago Metropolitan Region,1225880
Tarapacá Region,57708
Unknown,≤100
Valparaíso Region,226283
