Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
177072498997234,NSW Electoral Commission,NSW Electoral Commission,17327,45
119246428679,NSW Labor,NSW Labor,14416,148
120462224723459,NSW Nationals,National Party of Australia - NSW,12164,30
44701328033,NSW Liberal Party,"Liberal Party of Australia, NSW Division",9445,26
682268945137255,Chris Minns,Chris Minns MP,6401,51
24495551981,The Greens NSW,The Greens NSW,5764,132
156271657717715,Nature NSW,Nature Conservation Council of NSW,5004,49
532962446729390,Australian Families,Department of Social Services,4168,49
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,3805,209
103267361369269,Peta Betts for Murray,National Party of Australia - NSW,3588,3
115906901777839,Stuart Ayres,"Liberal Party of Australia, NSW Division",3184,8
213476079972,Essential Workers Deserve Better,Mark Morey,3175,77
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,3165,29
307341981788,Australian Labor Party,Australian Labor Party,3137,5
101063326158536,Kellie Sloane - Liberal Candidate for Vaucluse,"Liberal Party of Australia, NSW Division",3112,7
104389532222332,Solutions,Solutions for Australia,2704,90
148496808639555,"Electrical Trades Union, ETU NSW Branch",Electrical Trades Union - ETU NSW,2645,3
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,2463,16
1859929650911877,Felicity Wilson MP,"Liberal Party of Australia, NSW Division",2387,5
32799215298,Animals Australia,Animals Australia,2316,98
234642499897373,Fire Brigade Employees' Union - FBEU,Fire Brigade Employees Union,2275,12
113189828261610,Therese Fedeli - Liberal Candidate for Leppington,"Liberal Party of Australia, NSW Division",2155,3
234505723424525,Maryanne Stuart - Labor for Heathcote,NSW Labor,2107,8
115924194728414,Toby Williams - Liberal Candidate for Wakehurst,"Liberal Party of Australia, NSW Division",2100,4
306382470085059,Gurmesh Singh MP,National Party of Australia - NSW,1891,4
105228161893855,Climate 200,Climate 200,1840,86
331204223675563,United Australia Party,United Australia Party,1797,2
108381455902627,Australian Christian Lobby,Australian Christian Lobby,1734,4
100356216050100,Family First Party Australia,Family First Party Australia Ltd,1700,4
102123539486514,Roshena Campbell,Liberal Party of Australia,1693,3
100117159603206,Ash Ambihaipahar - Labor Candidate for Oatley,NSW Labor,1689,16
2216458428672346,Wendy Lindsay MP East Hills,"Liberal Party of Australia, NSW Division",1673,3
106680295615142,Mohit Kumar - Liberal Candidate for Riverstone,"Liberal Party of Australia, NSW Division",1660,3
555628917805267,Janelle Saffin - Member for Lismore,NSW Labor,1638,10
478876985509503,Anthony Roberts,"Liberal Party of Australia, NSW Division",1629,3
108371715306790,Katelin McInerney - Labor for Kiama,NSW Labor,1619,8
112616948322135,Luke Sikora - Liberal Candidate for South Coast,"Liberal Party of Australia, NSW Division",1581,2
492074414587353,Judith Hannan - Independent for Wollondilly & The Southern Highlands,Judith Hannan,1561,12
101013236196328,Victoria Davidson for Lane Cove,Victoria Davidson,1538,12
106572145637277,Helen Conway for North Shore,Helen Conway,1450,7
105931422364976,Jacqui Scruby,Jacqui Scruby,1444,11
427503168204718,Wendy Tuckerman MP,"Liberal Party of Australia, NSW Division",1423,3
8422338499,The Wilderness Society,The Wilderness Society,1408,123
102735262506370,Amanda Findley for South Coast,The Greens NSW,1401,26
