Location name,Amount spent (NOK)
Akershus,7239
Aust-Agder,1353
Buskerud,3384
Finnmark,2950
Hedmark,3039
Hordaland,6960
Møre og Romsdal,3589
Nord-Trøndelag,2392
Nordland,9270
Oppland,4000
Oslo,13991
Rogaland,5370
Sogn og Fjordane,1079
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,4249
Telemark,3505
Troms,4672
Unknown,≤100
Vest-Agder,2793
Vestfold,3041
Østfold,2899
