Location name,Amount spent (LBP)
Beirut Governorate,2388506
Beqaa Governorate,791940
Mount Lebanon Governorate,1477612
Nabatieh Governorate,343283
North Governorate,1373134
South Governorate,570597
Unknown,≤100
