Location name,Amount spent (SEK)
Blekinge County,4844
Dalarna County,9747
Gotland County,2237
Gävleborg County,10104
Halland County,10817
Jämtland County,4988
Jönköping County,11846
Kalmar County,7450
Kronoberg County,6508
Norrbotten County,9007
Skåne County,47225
Stockholm County,78865
Södermanland County,10398
Unknown,≤100
Uppsala County,14201
Värmland County,9436
Västerbotten County,10771
Västernorrland County,7979
Västmanland County,8984
Västra Götaland County,58460
Örebro County,9896
Östergötland County,15164
