Location name,Amount spent (VND)
An Giang Province,31929
Bà Rịa–Vũng Tàu Province,79866
Bình Dương Province,118488
Bình Phước Province,33965
Bình Thuận Province,40922
Bình Định Province,36470
Bạc Liêu Province,10993
Bắc Giang Province,90563
Bắc Kạn Province,7646
Bắc Ninh Province,54047
Bến Tre Province,13405
Cao Bằng Province,9608
Cà Mau Province,21574
Cần Thơ,21894
Da Nang,101044
Gia Lai Province,41189
Haiphong,91480
Ho Chi Minh City,1280879
Hà Giang Province,22690
Hà Nam Province,26968
Hà Tĩnh Province,89644
Hòa Bình Province,30308
Hưng Yên Province,38422
Hải Dương Province,77824
Hậu Giang Province,3135
Khánh Hòa Province,44648
Kiên Giang Province,37644
Kon Tum Province,19154
Lai Châu Province,7561
Long An Province,21740
Lào Cai Province,14746
Lâm Đồng Province,75705
Lạng Sơn Province,21776
Nam Định Province,54495
Nghệ An Province,136045
Ninh Bình Province,38194
Ninh Thuận Province,15184
Phú Thọ Province,52485
Phú Yên Province,39932
Quảng Bình Province,32053
Quảng Nam Province,40357
Quảng Ngãi Province,189400
Quảng Ninh Province,49518
Quảng Trị Province,19355
Sóc Trăng Province,12202
Sơn La Province,33511
Thanh Hóa Province,155801
Thái Bình Province,69462
Thái Nguyên Province,54320
Thừa Thiên–Huế Province,27960
Tiền Giang Province,24650
Trà Vinh Province,10891
Tuyên Quang Province,31165
Tây Ninh Province,27754
Unknown,1078
Vĩnh Long Province,6599
Vĩnh Phúc Province,38361
Yên Bái Province,27886
Điện Biên Province,22739
Đắk Lắk Province,75448
Đắk Nông Province,26877
Đồng Nai Province,149136
Đồng Tháp Province,29360
