Location name,Amount spent (COP)
Amazonas,4698
Antioquia,10031701
Arauca,110469
Atlantico,1185107
Bolivar,930469
Boyaca,1833518
Caldas,795850
Caqueta,214023
Casanare,579978
Cauca,427877
Cesar,588311
Choco,81969
Cordoba,773779
Cundinamarca,2816555
Distrito Especial,7037014
Guainia,2643
Guaviare,49538
Huila,1160780
La Guajira,114215
Magdalena,367754
Meta,906889
Narino,314232
Norte de Santander,889239
Putumayo,408901
Quindio,213562
Risaralda,1085026
San Andres y Providencia,138512
Santander,2437137
Sucre,514598
Tolima,1332114
Unknown,859
Valle del Cauca,6572318
Vaupes,966
Vichada,4609
