Location name,Amount spent (PLN)
Greater Poland Voivodeship,4445
Kuyavian-Pomeranian Voivodeship,1675
Lesser Poland Voivodeship,3408
Lower Silesian Voivodeship,3038
Lublin Voivodeship,1465
Lubusz Voivodeship,944
Masovian Voivodeship,6849
Opole Voivodeship,748
Podkarpackie Voivodeship,1648
Podlaskie Voivodeship,792
Pomeranian Voivodeship,2424
Silesian Voivodeship,4044
Unknown,≤100
Warmian-Masurian Voivodeship,1088
West Pomeranian Voivodeship,1862
Łódź Voivodeship,2444
Świętokrzyskie Voivodeship,845
