Location name,Amount spent (PLN)
Greater Poland Voivodeship,6200
Kuyavian-Pomeranian Voivodeship,2863
Lesser Poland Voivodeship,5267
Lower Silesian Voivodeship,4031
Lublin Voivodeship,2594
Lubusz Voivodeship,1473
Masovian Voivodeship,9448
Opole Voivodeship,1205
Podkarpackie Voivodeship,2646
Podlaskie Voivodeship,1240
Pomeranian Voivodeship,4170
Silesian Voivodeship,7198
Unknown,≤100
Warmian-Masurian Voivodeship,1702
West Pomeranian Voivodeship,2528
Łódź Voivodeship,4480
Świętokrzyskie Voivodeship,1374
