Location name,Amount spent (SEK)
Blekinge County,10414
Dalarna County,19799
Gotland County,4959
Gävleborg County,20489
Halland County,23046
Jämtland County,9491
Jönköping County,22466
Kalmar County,14953
Kronoberg County,11514
Norrbotten County,18155
Skåne County,89425
Stockholm County,176911
Södermanland County,20042
Unknown,≤100
Uppsala County,28760
Värmland County,18198
Västerbotten County,19461
Västernorrland County,16552
Västmanland County,17592
Västra Götaland County,133318
Örebro County,19675
Östergötland County,28942
