Location name,Amount spent (THB)
Amnat Charoen,104
Ang Thong,≤100
Ayutthaya,696
Bangkok,25785
Bueng Kan,124
Buriram,395
Chachoengsao,883
Chai Nat,159
Chaiyaphum,277
Chanthaburi,243
Chiang Mai,1200
Chiang Rai,587
Chon Buri,5030
Chumphon,456
Kalasin,258
Kamphaeng Phet,230
Kanchanaburi,355
Khon Kaen,602
Krabi,335
Lampang,305
Lamphun,166
Loei,225
Lop Buri,241
Mae Hong Son,251
Maha Sarakham,293
Mukdahan,122
Nakhon Nayok,≤100
Nakhon Pathom,1274
Nakhon Phanom,194
Nakhon Ratchasima,1059
Nakhon Sawan,2519
Nakhon Si Thammarat,3120
Nan,133
Narathiwat,222
Nong Bua Lam Phu,146
Nong Khai,332
Nonthaburi,1194
Pathum Thani,938
Pattani,311
Phangnga,312
Phatthalung,443
Phayao,305
Phetchabun,235
Phetchaburi,203
Phichit,311
Phitsanulok,2254
Phrae,149
Phuket,6028
Prachin Buri,230
Prachuap Khiri Khan,353
Ranong,114
Ratchaburi,513
Rayong,993
Roi Et,325
Sa Kaeo,159
Sakon Nakhon,318
Samut Prakan,999
Samut Sakhon,1368
Samut Songkhram,179
Saraburi,292
Satun,252
Sing Buri,≤100
Sisaket,537
Songkhla,2765
Sukhothai,797
Suphan Buri,288
Surat Thani,14284
Surin,390
Tak,283
Trang,588
Trat,≤100
Ubon Ratchathani,603
Udon Thani,561
Unknown,≤100
Uthai Thani,193
Uttaradit,166
Yala Province,223
Yasothon,157
