Location name,Amount spent (CZK)
Central Bohemian Region,18013
Hradec Králové Region,8196
Karlovy Vary Region,4594
Liberec Region,6514
Moravian-Silesian Region,16284
Olomouc Region,8436
Pardubice Region,7012
Plzeň Region,8897
Prague,37565
South Bohemian Region,8871
South Moravian Region,21025
Unknown,≤100
Vysočina Region,6252
Zlín Region,7443
Ústí nad Labem Region,12247
