Location name,Amount spent (INR)
Andaman and Nicobar Islands,393
Andhra Pradesh,42627
Arunachal Pradesh,3179
Assam,55609
Bihar,179497
Chandigarh,1645
Chhattisgarh,67762
Dadra and Nagar Haveli,2325
Delhi,40453
Goa,4562
Gujarat,82402
Haryana,59284
Himachal Pradesh,21913
Jammu and Kashmir,22605
Jharkhand,39552
Karnataka,112963
Kerala,24952
Lakshadweep,≤100
Madhya Pradesh,86263
Maharashtra,135495
Manipur,4843
Meghalaya,106347
Mizoram,1319
Nagaland,2094
Odisha,32289
Puducherry,3049
Punjab region,49855
Rajasthan,191568
Sikkim,1883
Tamil Nadu,83361
Telangana,36129
Tripura,16752
Unknown,≤100
Uttar Pradesh,180014
Uttarakhand,23961
West Bengal,111131
