Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,55022,3
100489613340306,Samsung,Samsung,35492,8
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),32716,60
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,28777,11
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,25888,162
693907914395620,良杯製所 Oolab,良杯製所 Oolab,15895,13
106801464127093,目目非營利 MUVE NPO,目目非營利,9707,24
152472278103133,賴清德,賴清德,9330,2
106665874127896,TUN 惇聚,TUN 惇聚,8275,3
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,7677,18
219315794887869,聯合報,聯合報股份有限公司,6331,34
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,6274,8
211730475524462,大陸委員會,大陸委員會,4695,10
177161918975981,基督教芥菜種會,基督教芥菜種會,4491,23
368397373312842,游顥,游顥,4342,4
101379699115840,異軍Game Show,These ads ran without a disclaimer,3460,5
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,3455,2
179608846121604,富達投信 Fidelity International - Taiwan,富達投信 Fidelity International - Taiwan,3329,2
1629474157289221,小牛頓,小牛頓科學教育有限公司,3273,11
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,2927,4
1636733309982216,黃明賢 屏東縣議員,黃明賢 屏東縣議員,2909,2
142816435924517,DBS 星展銀行,DBS 星展銀行,2895,15
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,2376,1
390569611008641,願景工程 Vision Project,願景工程基金會,2131,37
127628276929,天下雜誌,天下雜誌,1812,21
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,1788,12
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1780,33
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,1720,28
104517709143455,非綠大初選,非綠大初選,1647,7
139995871775,中國文化大學推廣教育部,中國文化大學推廣教育部,1610,1
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,1546,23
235679595900,民視新聞,民視新聞,1524,4
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,1453,5
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1433,4
171759036215066,創世紀不動產教育訓練中心,創世紀不動產教育訓練中心,1410,17
107478432346054,郭台銘+1,郭台銘+1,1354,15
158025223269,今周刊,今周刊,1303,4
1855418728011324,鏡週刊,鏡週刊,1282,9
113825481574510,郭倍宏 - 起造大高雄,郭倍宏 - 起造大高雄,1271,9
306276709452272,文化部,文化部,1240,6
199044740213961,為台灣而教 Teach For Taiwan - TFT,Teach For Taiwan 為台灣而教,1238,5
106584758844163,傳奇再臨-,傳奇再臨-,1207,2
1537741526464370,桃園市議長邱奕勝,桃園市議長邱奕勝,1186,3
113021403762187,法律協會-債務協商 更生 清算 -全台服務,法律協會-債務協商 更生 清算 -全台服務,1158,1
628210660663641,自由時報地產天下,自由時報地產天下,1139,1
112272141484784,游智彬：桃園阿彬哥,游智彬：桃園阿彬哥,1105,2
288985605227865,黃建賓,黃建賓,1090,1
107967864993250,SOGA STOP！,財團法人隆中向上教育基金會,1010,5
945888608794185,聯博 - 81樓的基金筆記,聯博 - 81樓的基金筆記,1009,2
276861822357066,高金素梅(吉娃斯．阿麗),高金素梅(吉娃斯．阿麗),986,3
1833187540297220,牛煦庭,牛煦庭,980,5
246324992373019,傅崐萁,傅崐萁,958,1
191690867518507,江啟臣,江啟臣,957,2
246517878713911,劉家昌,劉家昌工作室,955,1
291116504367985,張秀華,張秀華,910,2
104624290080479,張育美,張育美,896,3
188358792124,聯經出版,聯經出版,873,11
129452013855801,RITE,RITE,868,5
598035204215439,全球青年趨勢論壇 Global Youth Trends Forum,These ads ran without a disclaimer,803,2
317996258579415,黃家齊,黃家齊,783,2
114162341566543,澳居AULIve 房產置業,Aulive Realty Co. ltd.,765,1
456170574528072,蘇巧慧,蘇巧慧,765,2
262531920494874,財團法人金融消費評議中心,財團法人金融消費評議中心,746,3
113115841660729,廖偉翔,廖偉翔,740,1
