Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
594606007235747,Abdul Aleem Khan,Abdul Aleem Khan,3171,1
101080725159933,Allama Shabbir Hasan Maisami,Allama Shabbir Hasan Maisami,3159,12
145448715547576,Justice Project Pakistan,Justice Project Pakistan,3000,1
106404676842052,ووٹ کو عزت دو,ووٹ کو عزت دو,2774,1
109493084543028,Four Corners with Tarar,NEXT TV,2502,1
100308592833663,Muhammad Naveed Butt,Muhammad Naveed Butt,2305,1
112689834835163,Ahmed Raza,Ahmed Raza,2304,6
136685708574073,Islamic Political Movement,Islamic Political Movement,2035,3
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,2000,1
109771132134070,کتابوں کی بستی,Zauq E Adab,1729,4
111791888503468,Hafiz Shahid Ghug,Hafiz Shahid Ghug,1011,1
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,4
101269169346393,Barrister Abdullah Mumtaz Kahloon,Barrister Abdullah Mumtaz Kahloon,769,3
144494398930201,Jamaat -e- Islami Pakistan,Jamaat -e- Islami Pakistan,648,1
171980796153771,Siraj ul Haq,Siraj ul Haq,463,1
108091784319799,Khyber Heights,These ads ran without a disclaimer,396,1
110354040509577,Pakistan Inqalabi Party,These ads ran without a disclaimer,394,1
694645127592480,Lahore book city,These ads ran without a disclaimer,315,1
377782882622312,PPP Chakwal,PPP Chakwal,313,1
110676890477070,Book Store,These ads ran without a disclaimer,309,1
114829488261326,Dr Babar Rasheed,Dr Babar Rasheed,307,1
109827332009768,Wise Pakistan,These ads ran without a disclaimer,282,1
931203933666198,Startup Pakistan,Startup Pakistan,280,2
123687249447897,اظہر کاشر,These ads ran without a disclaimer,221,1
108463245235970,Arsalan Ahmad Khan,These ads ran without a disclaimer,216,1
107238762381292,Hamara Pakistan,These ads ran without a disclaimer,195,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,186,1
120692544373124,آخرالزمان،نجات,These ads ran without a disclaimer,156,1
100669058535676,Muzaffarabad Tv,These ads ran without a disclaimer,134,1
787219571650602,Sardar Muhammad Asif Nadeem,These ads ran without a disclaimer,118,1
100295709801909,Capital Students Association,These ads ran without a disclaimer,116,1
173070036386587,Raja Tariq Murtaza,Raja Tariq Murtaza,≤100,1
1763096080646753,Chaudhry Muhammad Asghar PTI Official,These ads ran without a disclaimer,≤100,1
457514774319202,White News پښتو,White News پښتو,≤100,1
1249600478509306,Saeed ahmad Duraan سعید احمد دوران,These ads ran without a disclaimer,≤100,2
104214421709153,Asmat  Lehaz Kakakhel,These ads ran without a disclaimer,≤100,1
100985514434,Faiz Alam Faizi,These ads ran without a disclaimer,≤100,1
111466150514386,Election Commission Of Pakistan - ECP,Election Commission Of Pakistan - ECP,≤100,2
115909641431558,Asim Siddiq,These ads ran without a disclaimer,≤100,1
104738335990390,Fnuhj-1234,These ads ran without a disclaimer,≤100,3
185130644919625,Meta for Business,These ads ran without a disclaimer,≤100,1
104876578168457,Doc Journals - Magazine,These ads ran without a disclaimer,≤100,1
107941432333008,Cdhg-1234,These ads ran without a disclaimer,≤100,1
416731498371213,Saved To Serve,These ads ran without a disclaimer,≤100,1
103376308797402,Melisha Singh -  Author Page,These ads ran without a disclaimer,≤100,1
