Location name,Amount spent (PKR)
Azad Kashmir,961
Balochistan,798
Federally Administered Tribal Areas,184
Gilgit-Baltistan,466
Islamabad Capital Territory,2182
Khyber Pakhtunkhwa,4859
Punjab,20072
Sindh,11162
Unknown,≤100
