Location name,Amount spent (GTQ)
Alta Verapaz Department,3540
Baja Verapaz Department,1530
Chimaltenango Department,3860
Chiquimula Department,2648
El Progreso Department,1402
Escuintla Department,5061
Guatemala Department,83151
Huehuetenango Department,5694
Izabal Department,4019
Jalapa Department,1665
Jutiapa Department,3285
Petén Department,4007
Quetzaltenango Department,8500
Quiché Department,4027
Retalhuleu Department,2337
Sacatepéquez Department,3972
San Marcos Department,12465
Santa Rosa Department,2256
Sololá Department,2538
Suchitepéquez Department,3146
Totonicapán Department,2215
Unknown,≤100
Zacapa Department,1708
