Location name,Amount spent (USD)
Azuay Province,1792
Bolívar Province,223
Carchi Province,158
Cañar Province,383
Chimborazo Province,649
Cotopaxi Province,525
El Oro Province,1338
Esmeraldas Province,859
Galápagos Province,≤100
Guayas Province,7891
Imbabura Province,705
Loja Province,950
Los Ríos Province,1461
Manabí Province,2576
Morona-Santiago Province,225
Napo Province,172
Orellana Province,224
Pastaza Province,181
Pichincha Province,5871
Santa Elena Province,534
Santo Domingo de los Tsáchilas Province,1411
Sucumbíos Province,274
Tungurahua Province,903
Unknown,≤100
Zamora-Chinchipe Province,165
