Location name,Amount spent (MXN)
Aguascalientes,16827
Baja California,77021
Baja California Sur,15068
Campeche,27502
Chiapas,44590
Chihuahua,42367
Coahuila de Zaragoza,47277
Colima,12584
Distrito Federal,213100
Durango,15313
Guanajuato,83328
Guerrero,29660
Hidalgo,23473
Jalisco,136355
Michoacán de Ocampo,60732
Morelos,38858
Nayarit,16367
Nuevo León,152774
Oaxaca,50306
Puebla,149558
Querétaro Arteaga,40879
Quintana Roo,59299
San Luis Potosi,37921
Sinaloa,26845
Sonora,40185
State of Mexico,131975
Tabasco,19805
Tamaulipas,48085
Tlaxcala,11288
Unknown,≤100
Veracruz,66184
Yucatán,55216
Zacatecas,13783
