Location name,Amount spent (IDR)
Aceh,822569
Bali,2102921
Bangka–Belitung Islands,162223
Banten,1553542
Bengkulu,292212
Central Java,7375253
Central Kalimantan,252890
Central Sulawesi,1111268
East Java,5717916
East Kalimantan,1449643
East Nusa Tenggara,2343398
Gorontalo,297371
Jakarta,4173421
Jambi,689688
Lampung,1915386
Maluku,382116
North Kalimantan,121478
North Maluku,147827
North Sulawesi,2140829
North Sumatra,4196743
Papua (province),906617
Riau,1955390
Riau Islands Province,396359
South Kalimantan,251781
South Sulawesi,1408835
South Sumatra,2057199
Southeast Sulawesi,1153216
Special Region of Yogyakarta,2315050
Unknown,12322
West Java,7948909
West Kalimantan,1987221
West Nusa Tenggara,1123089
West Papua,135011
West Sulawesi,178304
West Sumatra,1480834
