Location name,Amount spent (USD)
Azuay Province,849
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,133
Chimborazo Province,≤100
Cotopaxi Province,110
El Oro Province,959
Esmeraldas Province,253
Galápagos Province,≤100
Guayas Province,2296
Imbabura Province,208
Loja Province,131
Los Ríos Province,819
Manabí Province,853
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1097
Santa Elena Province,110
Santo Domingo de los Tsáchilas Province,914
Sucumbíos Province,129
Tungurahua Province,153
Unknown,≤100
Zamora-Chinchipe Province,≤100
