Location name,Amount spent (INR)
Andaman and Nicobar Islands,298
Andhra Pradesh,26377
Arunachal Pradesh,1782
Assam,35909
Bihar,116151
Chandigarh,2109
Chhattisgarh,29683
Dadra and Nagar Haveli,2470
Delhi,113401
Goa,3953
Gujarat,260333
Haryana,60684
Himachal Pradesh,75153
Jammu and Kashmir,13142
Jharkhand,27205
Karnataka,103616
Kerala,57214
Lakshadweep,≤100
Madhya Pradesh,92986
Maharashtra,162186
Manipur,4306
Meghalaya,8750
Mizoram,1943
Nagaland,1944
Odisha,23086
Puducherry,3126
Punjab region,49477
Rajasthan,234128
Sikkim,1359
Tamil Nadu,74068
Telangana,42425
Tripura,11392
Unknown,≤100
Uttar Pradesh,152877
Uttarakhand,16543
West Bengal,89375
