Location name,Amount spent (DKK)
Capital Region of Denmark,57543
Central Denmark Region,23470
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9942
Region of Southern Denmark,20553
Unknown,≤100
Zealand Region,13572
