Location name,Amount spent (JPY)
Aichi Prefecture,16756
Akita Prefecture,1208
Aomori Prefecture,1500
Chiba Prefecture,15798
Ehime Prefecture,2900
Fukui Prefecture,1636
Fukuoka Prefecture,42052
Fukushima Prefecture,3017
Gifu Prefecture,3367
Gunma Prefecture,3307
Hiroshima Prefecture,6230
Hokkaido,10128
Hyōgo Prefecture,15786
Ibaraki Prefecture,5194
Ishikawa Prefecture,2478
Iwate Prefecture,1571
Kagawa Prefecture,2015
Kagoshima Prefecture,2538
Kanagawa Prefecture,39472
Kumamoto Prefecture,4329
Kyoto Prefecture,13616
Kōchi Prefecture,1132
Mie Prefecture,3571
Miyagi Prefecture,10349
Miyazaki Prefecture,1900
Nagano Prefecture,4738
Nagasaki Prefecture,3744
Nara Prefecture,3062
Niigata Prefecture,3536
Okayama Prefecture,4018
Okinawa Prefecture,5656
Osaka Prefecture,25813
Saga Prefecture,2665
Saitama Prefecture,15824
Shiga Prefecture,3243
Shimane Prefecture,1042
Shizuoka Prefecture,9478
Tochigi Prefecture,3365
Tokushima Prefecture,1267
Tokyo,92806
Tottori Prefecture,876
Toyama Prefecture,1846
Unknown,≤100
Wakayama Prefecture,1565
Yamagata Prefecture,1690
Yamaguchi Prefecture,2316
Yamanashi Prefecture,1826
Ōita Prefecture,3814
