Location name,Amount spent (JPY)
Aichi Prefecture,59341
Akita Prefecture,7846
Aomori Prefecture,5963
Chiba Prefecture,39825
Ehime Prefecture,6562
Fukui Prefecture,4608
Fukuoka Prefecture,51926
Fukushima Prefecture,8759
Gifu Prefecture,15991
Gunma Prefecture,13773
Hiroshima Prefecture,15854
Hokkaido,36926
Hyōgo Prefecture,33341
Ibaraki Prefecture,15569
Ishikawa Prefecture,6924
Iwate Prefecture,6764
Kagawa Prefecture,6277
Kagoshima Prefecture,7075
Kanagawa Prefecture,82773
Kumamoto Prefecture,11067
Kyoto Prefecture,18991
Kōchi Prefecture,3330
Mie Prefecture,10740
Miyagi Prefecture,18646
Miyazaki Prefecture,5231
Nagano Prefecture,12481
Nagasaki Prefecture,8742
Nara Prefecture,7812
Niigata Prefecture,11277
Okayama Prefecture,13995
Okinawa Prefecture,12547
Osaka Prefecture,62135
Saga Prefecture,5805
Saitama Prefecture,54597
Shiga Prefecture,8734
Shimane Prefecture,5640
Shizuoka Prefecture,21247
Tochigi Prefecture,9739
Tokushima Prefecture,4261
Tokyo,125817
Tottori Prefecture,2396
Toyama Prefecture,5980
Unknown,≤100
Wakayama Prefecture,6011
Yamagata Prefecture,6045
Yamaguchi Prefecture,6612
Yamanashi Prefecture,5548
Ōita Prefecture,9262
