Location name,Amount spent (ZAR)
Eastern Cape,1853
Free State,1059
Gauteng,6150
KwaZulu-Natal,2436
Limpopo,841
Mpumalanga,946
North West,701
Northern Cape,447
Unknown,≤100
Western Cape,11660
