Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,236
Apurímac Region,≤100
Arequipa Region,457
Ayacucho Region,139
Cajamarca Region,183
Callao,199
Cusco Region,247
Huancavelica Region,≤100
Huánuco Region,107
Ica Region,289
Junín Region,226
La Libertad Region,785
Lambayeque Region,223
Lima Region,2410
Loreto Region,111
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,306
Puno Region,247
San Martín Region,137
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
