Location name,Amount spent (IDR)
Aceh,3618809
Bali,2327641
Bangka–Belitung Islands,723701
Banten,4724057
Bengkulu,1164616
Central Java,13530509
Central Kalimantan,1121161
Central Sulawesi,1322140
East Java,10884106
East Kalimantan,2961013
East Nusa Tenggara,2517355
Gorontalo,991020
Jakarta,13947831
Jambi,1225900
Lampung,5938095
Maluku,1903426
North Kalimantan,727294
North Maluku,676391
North Sulawesi,3538854
North Sumatra,5910062
Papua (province),994177
Riau,3070285
Riau Islands Province,1308851
South Kalimantan,1419907
South Sulawesi,5472364
South Sumatra,6392290
Southeast Sulawesi,1112909
Special Region of Yogyakarta,1547629
Unknown,14574
West Java,15936737
West Kalimantan,2384911
West Nusa Tenggara,1629578
West Papua,641031
West Sulawesi,825768
West Sumatra,3517081
