Location name,Amount spent (BRL)
Acre (state),694
Alagoas,2230
Amapá,737
Amazonas,4507
Bahia,9307
Ceará,8951
Espírito Santo,6496
Federal District,3360
Goiás,5619
Maranhão,7803
Mato Grosso,4083
Mato Grosso do Sul,3021
Minas Gerais,21121
Paraná,10524
Paraíba,3140
Pará,9241
Pernambuco,7260
Piauí,2361
Rio Grande do Norte,3742
Rio Grande do Sul,16628
Rio de Janeiro (state),20089
Rondônia,1869
Roraima,778
Santa Catarina,9234
Sergipe,1874
São Paulo (state),46193
Tocantins,1278
Unknown,≤100
