Location name,Amount spent (DKK)
Capital Region of Denmark,47369
Central Denmark Region,25185
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12609
Region of Southern Denmark,24442
Unknown,≤100
Zealand Region,17808
