Location name,Amount spent (RON)
Alba County,450
Arad County,638
Argeș County,1113
Bacău County,760
Bihor County,491
Bistrița-Năsăud County,285
Botoșani County,814
Brașov County,993
Brăila County,308
Bucharest,3365
Buzău County,397
Caraș-Severin County,235
Cluj County,820
Constanța County,745
Covasna County,206
Călărași County,261
Dolj County,1253
Dâmbovița County,872
Galați County,496
Giurgiu County,174
Gorj County,511
Harghita County,370
Hunedoara County,396
Ialomița County,239
Iași County,685
Ilfov County,337
Maramureș County,702
Mehedinți County,223
Mureș County,718
Neamț County,696
Olt County,626
Prahova County,864
Satu Mare County,341
Sibiu County,422
Suceava County,927
Sălaj County,206
Teleorman County,243
Timiș County,721
Tulcea County,155
Unknown,≤100
Vaslui County,341
Vrancea County,283
Vâlcea County,567
