Location name,Amount spent (TND)
Ariana Governorate,174
Ben Arous Governorate,229
Bizerte Governorate,185
Béja Governorate,≤100
Gabès Governorate,146
Gafsa Governorate,128
Jendouba Governorate,≤100
Kairouan Governorate,129
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,161
Manouba Governorate,130
Medenine Governorate,193
Monastir Governorate,297
Nabeul Governorate,424
Sfax,382
Sidi Bouzid Governorate,110
Siliana Governorate,≤100
Sousse Governorate,264
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,703
Unknown,≤100
Zaghouan Governorate,≤100
