Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
102845669064210,Danuše Nerudová,Danuše Nerudová,32610,52
120461304659141,O2 CZ,O2 Czech republic,20598,9
214827221987263,Andrej Babiš,ANO,17972,5
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,16998,22
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,13784,33
102389958091735,Generál Pavel,Petr Pavel,8052,21
2214398435317853,CNN Prima NEWS,FTV Prima,5398,15
157741540937883,CARE Česká republika,CARE Česká republika,4770,6
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,4329,17
183947234987295,Ministerstvo vnitra,Ministerstvo vnitra ČR,4287,42
361281313901258,Komerční banka,"Komerční banka, a.s.",3103,3
1469427909957890,Reportér magazín,Reportér magazín,3047,13
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,2501,8
107898832590939,European Commission,European Commission,2362,4
1432139953751418,Josef Středula,Josef Středula,2286,2
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,2078,8
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,1876,13
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,1803,18
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1764,11
178362315106,European Parliament,European Parliament,1685,6
206273352289,ADRA CZ,"ADRA, o.p.s.",1570,16
115589329891193,Konference Budoucnost evropského zemědělství /2022,European Parliament,1517,8
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1500,9
110854265157305,Zavolíme,Zavolíme,1375,6
424114981002397,Český rozhlas Plus,Český rozhlas,1191,18
1934837773438430,Pavel Fischer,Pavel Fischer,1144,6
251656685576,KDU-ČSL,KDU-ČSL,1136,3
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1132,6
90002267161,TOP 09,TOP 09,1131,4
280411075659709,Marek Hilšer,Marek Hilšer,1120,8
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",1077,8
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1030,2
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,1012,7
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,967,1
236211929833146,Tomáš Zima,ZFP s.r.o,913,9
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,876,4
1815379688541829,Jiří Nedvěd - politik,Nedvěd Jiří,876,1
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",858,1
139379141293,Paměť národa,"Post Bellum, z.ú.",826,5
102907672280977,Co bude dál?_________,NFSix.org,812,6
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",744,10
605137899592157,STIHL,"Andreas STIHL, spol. s r. o.",734,2
578342809023884,Jsme fér,Prague Pride,702,2
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,690,6
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,657,9
1956144064659620,BlueTV,Aliance pro budoucnost,597,1
154228456802,Divadlo v Řeznické,"Divadlo v Řeznické, o. p. s.",597,3
579215965436046,JSNS,"Člověk v tísni, o.p.s.",581,15
693725074166331,Naše zdravotnictví,Naše zdravotnictví,563,6
52479821102,Týdeník Respekt,Týdeník Respekt,549,2
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,533,8
356451014434612,Marian Jurečka,KDU-ČSL,531,2
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,525,4
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",507,20
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",500,2
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,495,1
194467420912201,Já volím děti,Já volím děti,491,7
123858471641,iROZHLAS.cz,Český rozhlas,488,3
155406703122,Arnika,Arnika,449,2
107341405343516,Mise Ukrajina,Mise Ukrajina,406,2
2257150737847680,Advokátní kancelář PETRÁŠ REZEK,Advokátní kancelář Petráš Rezek s.r.o.,403,1
2156599824411421,"Vojtěch Kos, starosta Prahy 12",Vojtěch Kos,398,3
287724754662359,HateFree Culture,HateFree Culture,381,7
197010357446014,Ondřej Prokop,Ondrej Prokop,379,3
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková,377,3
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,347,2
369035059843617,REMAX Delux,Tomáš Šimek,339,4
541077242579260,TOPAZ,Petr Sekanina,338,2
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,320,4
100201752249169,Spolu21,Občanská demokratická strana,319,2
143332019059223,DOC Mercury,Jakub Lorenc,317,1
711658465662315,XTV,XTV,306,3
113437470509035,Za normální svět,Karel Halačka,299,2
131077510392252,Škoda Group,Škoda Transportation,295,1
104940818596176,Akordy Václava Hnátka,Michaela Kaufmanová,292,1
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,290,1
284944781875,EURACTIV.cz,EURACTIV.cz,290,8
101429731974678,Piráti Jihomoravský kraj,Pirátská strana - Jihomoravský kraj,281,5
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,265,1
495496033796328,Stanislav Blaha,Stanislav Blaha,262,5
122904381068079,divadlo Líšeň,Divadlo Líšeň z.s.,259,2
609246842426009,Rekonstrukce státu,Rekonstrukce státu,252,3
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",240,1
236211929833146,Tomáš Zima,Společnost ZFP s.r.o.,236,2
129090553792481,Central Group,CENTRAL GROUP a.s.,228,1
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",227,1
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",222,6
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,218,1
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,214,12
117823623864,Transparency International ČR,Transparency International ČR,213,4
