Location name,Amount spent (IDR)
Aceh,1192751
Bali,2134109
Bangka–Belitung Islands,443489
Banten,2042362
Bengkulu,578801
Central Java,10548689
Central Kalimantan,580419
Central Sulawesi,1499606
East Java,7145164
East Kalimantan,1277416
East Nusa Tenggara,3319015
Gorontalo,607618
Jakarta,5009661
Jambi,969821
Lampung,2286541
Maluku,938484
North Kalimantan,241474
North Maluku,419378
North Sulawesi,1572325
North Sumatra,5172118
Papua (province),570744
Riau,2422853
Riau Islands Province,790469
South Kalimantan,598135
South Sulawesi,2819641
South Sumatra,1907594
Southeast Sulawesi,1438581
Special Region of Yogyakarta,1515965
Unknown,21825
West Java,9195958
West Kalimantan,2321575
West Nusa Tenggara,2025003
West Papua,351288
West Sulawesi,307405
West Sumatra,1778060
