Location name,Amount spent (RON)
Alba County,384
Arad County,430
Argeș County,335
Bacău County,396
Bihor County,532
Bistrița-Năsăud County,168
Botoșani County,364
Brașov County,413
Brăila County,185
Bucharest,4076
Buzău County,212
Caraș-Severin County,150
Cluj County,717
Constanța County,651
Covasna County,161
Călărași County,111
Dolj County,313
Dâmbovița County,329
Galați County,512
Giurgiu County,118
Gorj County,221
Harghita County,280
Hunedoara County,256
Ialomița County,228
Iași County,1011
Ilfov County,339
Maramureș County,326
Mehedinți County,116
Mureș County,437
Neamț County,404
Olt County,200
Prahova County,761
Satu Mare County,272
Sibiu County,237
Suceava County,403
Sălaj County,223
Teleorman County,196
Timiș County,828
Tulcea County,101
Unknown,≤100
Vaslui County,193
Vrancea County,310
Vâlcea County,469
