Location name,Amount spent (COP)
Amazonas,879
Antioquia,979184
Arauca,2017
Atlantico,456565
Bolivar,84221
Boyaca,23193
Caldas,16873
Caqueta,101885
Casanare,10927
Cauca,29624
Cesar,29720
Choco,13720
Cordoba,18402
Cundinamarca,145741
Distrito Especial,1483161
Guainia,836
Guaviare,1032
Huila,33358
La Guajira,59778
Magdalena,98139
Meta,32531
Narino,81615
Norte de Santander,21636
Putumayo,38415
Quindio,15486
Risaralda,123926
San Andres y Providencia,545
Santander,41846
Sucre,14535
Tolima,61997
Valle del Cauca,197263
Vaupes,≤100
Vichada,305
