Location name,Amount spent (ZAR)
Eastern Cape,805
Free State,566
Gauteng,4364
KwaZulu-Natal,807
Limpopo,512
Mpumalanga,365
North West,276
Northern Cape,217
Unknown,≤100
Western Cape,9680
