Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
990747367737692,Cătălin Drulă,Uniunea Salvați România,16775,11
1058116737612843,USR,Uniunea Salvați România,6225,5
178362315106,European Parliament,European Parliament,4560,9
122074554119,EU Social,EU Social,2336,6
321890494859228,Vlad Gheorghe,Vlad Gheorghe,1422,12
1504323906337545,Litere.net,litere.net,1316,5
108295090637741,ASAP România,Fundatia The Institute,1156,12
574372066308729,Basism,Grupul de Investigatii Politice,846,1
2546711162025064,Politice.net,politice.net,812,5
291177524360702,Partidul Social Democrat,Partidul Social Democrat,597,10
329619180721358,Cosette Chichirău,Cosette Chichirău,543,7
176989973158138,Guvernare.net,Guvernare.net,542,2
163943696987223,Ziarul Puterea,Ziarul Puterea,533,27
1559885467641191,Râul Alb,Râul Alb,527,11
112664490103704,Salvăm România,Salvăm România,492,4
149371012371397,Newsweek Romania,Newsweek Romania,465,6
101254968456255,Călin Gheorghe Maties-senator,Partidul Social Democrat,435,4
686190454826244,Declic,Declic,405,39
697451833786949,Mihai Polițeanu,Mihai Polițeanu,348,7
364156627669948,Ștefan Pălărie,Ștefan Pălărie,342,1
971907786352729,USR Cluj,USR Cluj,325,8
108131401342424,Adrian Vigheciu,Partidul Social Democrat,322,4
1408452646080627,Marius Screciu,Screciu Marius,317,4
731035500293728,Siegfried Muresan,Siegfried Muresan,308,2
106318718894637,Infrastructură 5,Infrastructură 5,264,1
114319753592403,AFACERI.news,Trend Communication,263,6
109097618335138,Eduard Mititelu,Eduard Mititelu,263,3
1214971831975446,Upgrade 100,Upgrade 100,224,13
111494220589160,spotmedia.ro,spotmedia.ro,223,1
108131401342424,Adrian Vigheciu,Adrian Vigheciu,218,2
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,212,6
523106417867452,Mircea Fechet,Mircea Fechet,210,3
207741001672,Speranta pentru Romania,Speranta pentru Romania,208,3
116657837994402,Partidul Câmpina Curată,Partidul Câmpina Curată,199,13
1156150484398630,MozaiQ,MozaiQ,189,1
557284874779877,Mihai Coteț,Mihai Cotet,185,3
348610102203573,Radu Miruţă,Radu Miruţă,182,2
1769713886444816,Râsu Plânsu,Râsu Plânsu,177,3
456952907844400,Kereskényi Gábor,Kereskényi Gábor,174,5
102743169253473,Reciclăm în România,Reciclăm în România,171,15
113009310432947,Ilie Cheșa,Ilie Cheșa,167,4
105522854133423,Radu Panait,Radu Panait,164,1
102601499822802,RMDSZ,RMDSZ,163,4
612912695435095,Factual,Factual,158,7
1028428697211383,USR Sibiu,USR Sibiu,144,1
102811079157174,USR Tineret Gorj,USR Tineret Gorj,142,1
341037705981172,Humanitas,Humanitas,140,2
203522683752565,Stelian Bujduveanu,Stelian Bujduveanu,127,1
101340741758468,Radu Pescar,Radu Pescar,125,6
177992992396061,SenioriNET,SenioriNET,124,3
444661942362092,USR Sector 4,USR Sector 4,121,3
181221645364365,Carmen Avram,Carmen Avram,116,6
772662992868343,PNL Arges,PNL Arges,114,1
747983061916032,Átlátszó Erdély,Átlátszó Erdély,109,8
104369154745548,Diana Stoica,Diana Stoica,109,2
139292873479110,Florin Oancea,Florin Oancea,108,1
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,108,3
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,107,2
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,105,25
321896004518929,Ioan Mang,Ioan Mang,102,3
395624153809868,Fundatia Renasterea,Sociallite Media Solutions,102,11
103445844473825,Alianța pentru Unirea Românilor - AUR,Partidul Politic ALIANȚA PENTRU UNIREA ROMÂNILOR,101,2
428654640523065,Mircea Rosca,Mircea Rosca,101,1
1651525028466405,Microsoft Romania,These ads ran without a disclaimer,≤100,1
2443020582586584,Romania Eficienta,Romania Eficienta,≤100,10
1167483569966107,Primăria Municipiului Satu Mare / Szatmárnémeti,Primăria Municipiului Satu Mare / Szatmárnémeti,≤100,1
113873916863079,Mathias Corvinus Collegium - Erdély,Mathias Corvinus Collegium Egyesület,≤100,7
102106432515274,Partidul Patriotilor,Partidul Patriotilor,≤100,1
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,≤100,6
1027173667393990,Lucian Daniel Stanciu Viziteu,Lucian Daniel Stanciu Viziteu,≤100,2
108304090952938,Mihai Weber,Mihai Weber,≤100,2
1408452646080627,Marius Screciu,Marius Screciu,≤100,1
114485501263050,George Lazăr,PNL Neamț,≤100,1
356582831057941,Cristian Matei,Cristian Matei,≤100,2
107029625474765,Nicușor Halici,PSD Vrancea,≤100,1
107066808189586,Panorama.ro,NEWBIZ ONLINE PUBLISHING S.R.L.,≤100,2
110583568433497,Partidul Umanist Social Liberal PUSL Filiala Galați,Digital Fairy Studio SRL,≤100,5
111541767412870,Adrian Hatos,Adrian Hatos,≤100,2
698760586929790,USR Constanța,USR Constanța,≤100,1
1803548619924368,Andrei Gheorghiu,USR Vâlcea,≤100,1
105634411790211,Coaliția pentru Egalitate de Gen,Coaliția pentru Egalitate de Gen,≤100,2
220579784732993,Daniel Buda,Daniel Buda,≤100,3
101971268361738,Andrei Miftode,Cabinet Parlamentar Marius Andrei Miftode,≤100,7
112130176975380,Radu Ghidău,Radu Ghidău,≤100,2
102991845063279,Criticii.RO,CRITICII.RO,≤100,4
108124730689140,Raul Olajos,Raul Olajos,≤100,3
953390258052307,Ziar Harghita,Media PR Grup,≤100,1
463917500346335,PSD NEAMT,Media PR Grup,≤100,1
106384652445913,MRS - Partidul Mișcarea România Suverană Hunedoara,MRS Hunedoara,≤100,7
109445158308624,De fapt,DeFapt.ro,≤100,2
1164341813627057,Maria Gabriela Horga,Maria Gabriela Horga,≤100,4
873737539404529,USR Timiș,USR Timiș,≤100,1
486358554821325,Sergiu Bîlcea,Sergiu Bîlcea,≤100,2
1051537758265686,USR Neamț,USR Neamt,≤100,1
675042232534141,Vincze Loránt,Vincze Loránt,≤100,3
1498149113813076,Florin Cîţu,Florin Cîţu,≤100,2
101167822409042,Alexandru Gyorgy,Alexandru Gyorgy,≤100,1
1456367624654247,PNL SĂLAJ,World Wide BizCom,≤100,1
1449284915381234,Ionel Bogdan,PNL Maramureş,≤100,2
103749027864591,Florentina Luca Moise,Florentina Moise,≤100,2
117682741602835,Online Report,Online Report,≤100,2
1876727935882404,Bogdan Bola,Bogdan Bola,≤100,2
114460923709287,4media.INFO,4media.INFO,≤100,3
101763692272709,Avocat Ciuchi Elena-Corina,Cabinet de Avocat CIUCHI Elena-Corina,≤100,11
526553594496566,Ramona Strugariu,Ramona Strugariu,≤100,2
293443534092169,Victor Negrescu,Victor Negrescu,≤100,1
104143560936377,Irineu Darău,Birou Parlamentar Ambrozie-Irineu Darău,≤100,6
340365952736683,Alin Nica,Alin Nica,≤100,2
939093039450192,PS News,PS News,≤100,1
1161590740517881,Tomis News,Tomis News,≤100,5
104214448943442,Adrian Niță,Nita Adrian,≤100,1
102718835134723,Dumitru Rujan,Dumitru Rujan,≤100,1
109231571984405,Accelera,These ads ran without a disclaimer,≤100,1
101938368284859,Rácz Béla-Gergely,RMDSZ Kolozs Megye,≤100,1
175293925828191,Kelemen Hunor,RMDSZ,≤100,1
215328865181171,Borboly Csaba,Borboly Csaba,≤100,4
107126744527532,Farcaș Mihai-Dan,FARCAS MIHAI DAN,≤100,1
109485238372885,Economistii.RO,Economistii.RO,≤100,2
494469087244449,Eugen Tomac,Partidul Miscarea Populara,≤100,1
186612088034700,Facias - Fundatia pentru Apararea Cetatenilor Impotriva Abuzurilor Statului,FACIAS,≤100,3
396497857071198,Ziar Targu Neamt,Media PR Grup,≤100,1
332232000196436,ARCA - Romanian Forum for Refugees and Migrants,These ads ran without a disclaimer,≤100,1
