Location name,Amount spent (COP)
Amazonas,1159
Antioquia,726345
Arauca,5291
Atlantico,123053
Bolivar,102903
Boyaca,17870
Caldas,36174
Caqueta,81590
Casanare,8237
Cauca,37253
Cesar,25239
Choco,11798
Cordoba,33715
Cundinamarca,130906
Distrito Especial,2652075
Guainia,735
Guaviare,1439
Huila,87839
La Guajira,25099
Magdalena,68737
Meta,39217
Narino,43651
Norte de Santander,184980
Putumayo,36556
Quindio,18582
Risaralda,205004
San Andres y Providencia,1341
Santander,78000
Sucre,19934
Tolima,64319
Unknown,≤100
Valle del Cauca,270006
Vaupes,248
Vichada,570
