Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,454
Bicol Region,2306
Cagayan Valley,2257
Calabarzon,12248
Caraga,1235
Central Luzon,6157
Central Visayas,4930
Cordillera Administrative Region,889
Davao Region,2331
Eastern Visayas,2678
Ilocos Region,3437
Metro Manila,16097
Mimaropa,2681
Northern Mindanao,5025
Soccsksargen,1799
Unknown,≤100
Western Visayas,4150
Zamboanga Peninsula,2479
