Location name,Amount spent (HUF)
Baranya County,153745
Borsod-Abaúj-Zemplén County,211610
Budapest,938735
Bács-Kiskun County,185276
Békés County,125940
Csongrád County,163399
Fejér County,162275
Győr-Moson-Sopron County,181842
Hajdú-Bihar County,197226
Heves County,107662
Jász-Nagykun-Szolnok County,135043
Komárom-Esztergom County,125133
Nógrád County,62762
Pest County,443806
Somogy County,103127
Szabolcs-Szatmár-Bereg County,181291
Tolna County,84109
Unknown,210
Vas County,106083
Veszprém County,124950
Zala County,99963
