Location name,Amount spent (ZAR)
Eastern Cape,928
Free State,379
Gauteng,2526
KwaZulu-Natal,915
Limpopo,430
Mpumalanga,411
North West,305
Northern Cape,229
Unknown,≤100
Western Cape,7406
