Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,398
Bangkok,8902
Bueng Kan,≤100
Buriram,198
Chachoengsao,124
Chai Nat,≤100
Chaiyaphum,126
Chanthaburi,107
Chiang Mai,518
Chiang Rai,225
Chon Buri,456
Chumphon,280
Kalasin,109
Kamphaeng Phet,103
Kanchanaburi,293
Khon Kaen,262
Krabi,538
Lampang,148
Lamphun,≤100
Loei,≤100
Lop Buri,105
Mae Hong Son,≤100
Maha Sarakham,132
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,155
Nakhon Phanom,≤100
Nakhon Ratchasima,386
Nakhon Sawan,486
Nakhon Si Thammarat,3903
Nan,≤100
Narathiwat,156
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,309
Pathum Thani,331
Pattani,419
Phangnga,183
Phatthalung,555
Phayao,≤100
Phetchabun,117
Phetchaburi,976
Phichit,236
Phitsanulok,2407
Phrae,≤100
Phuket,1257
Prachin Buri,≤100
Prachuap Khiri Khan,134
Ranong,≤100
Ratchaburi,196
Rayong,170
Roi Et,166
Sa Kaeo,≤100
Sakon Nakhon,163
Samut Prakan,269
Samut Sakhon,135
Samut Songkhram,235
Saraburi,119
Satun,299
Sing Buri,≤100
Sisaket,191
Songkhla,2927
Sukhothai,≤100
Suphan Buri,274
Surat Thani,16960
Surin,221
Tak,≤100
Trang,217
Trat,≤100
Ubon Ratchathani,298
Udon Thani,206
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,156
Yasothon,103
