Location name,Amount spent (HTG)
Artibonite Department,303
Centre Department,≤100
Grand'Anse Department,146
Nippes Department,≤100
Nord Department,154
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,803
Sud Department,≤100
Sud-Est Department,≤100
Unknown,≤100
