Location name,Amount spent (INR)
Andaman and Nicobar Islands,195
Andhra Pradesh,41373
Arunachal Pradesh,936
Assam,16364
Bihar,73053
Chandigarh,2220
Chhattisgarh,85527
Dadra and Nagar Haveli,1134
Delhi,42659
Goa,1558
Gujarat,54004
Haryana,41452
Himachal Pradesh,15821
Jammu and Kashmir,7971
Jharkhand,16881
Karnataka,91102
Kerala,21122
Lakshadweep,≤100
Madhya Pradesh,62523
Maharashtra,133793
Manipur,1257
Meghalaya,95653
Mizoram,710
Nagaland,1178
Odisha,14537
Puducherry,1506
Punjab region,33091
Rajasthan,167651
Sikkim,1030
Tamil Nadu,32179
Telangana,29432
Tripura,8209
Unknown,≤100
Uttar Pradesh,107605
Uttarakhand,19145
West Bengal,46206
