Location name,Amount spent (PLN)
Greater Poland Voivodeship,5858
Kuyavian-Pomeranian Voivodeship,3347
Lesser Poland Voivodeship,5709
Lower Silesian Voivodeship,4532
Lublin Voivodeship,2622
Lubusz Voivodeship,1568
Masovian Voivodeship,11170
Opole Voivodeship,1319
Podkarpackie Voivodeship,2692
Podlaskie Voivodeship,1522
Pomeranian Voivodeship,4074
Silesian Voivodeship,6736
Unknown,≤100
Warmian-Masurian Voivodeship,1920
West Pomeranian Voivodeship,3191
Łódź Voivodeship,3917
Świętokrzyskie Voivodeship,1881
