Location name,Amount spent (COP)
Amazonas,657
Antioquia,6008504
Arauca,144053
Atlantico,1029378
Bolivar,196136
Boyaca,163484
Caldas,935323
Caqueta,42217
Casanare,35687
Cauca,183561
Cesar,98661
Choco,49121
Cordoba,183469
Cundinamarca,411642
Distrito Especial,1811596
Guainia,440
Guaviare,3283
Huila,208893
La Guajira,29672
Magdalena,120898
Meta,288129
Narino,72723
Norte de Santander,262712
Putumayo,69862
Quindio,137872
Risaralda,717854
San Andres y Providencia,3998
Santander,165521
Sucre,151982
Tolima,436744
Unknown,181
Valle del Cauca,2734319
Vaupes,162
Vichada,456
