Location name,Amount spent (INR)
Andaman and Nicobar Islands,398
Andhra Pradesh,22676
Arunachal Pradesh,1885
Assam,37928
Bihar,108444
Chandigarh,2933
Chhattisgarh,26365
Dadra and Nagar Haveli,1760
Delhi,60248
Goa,3147
Gujarat,86563
Haryana,45350
Himachal Pradesh,21496
Jammu and Kashmir,15688
Jharkhand,24219
Karnataka,98836
Kerala,50961
Lakshadweep,≤100
Madhya Pradesh,72923
Maharashtra,184301
Manipur,3763
Meghalaya,9537
Mizoram,2034
Nagaland,2048
Odisha,21578
Puducherry,2471
Punjab region,39006
Rajasthan,165649
Sikkim,1331
Tamil Nadu,64107
Telangana,41080
Tripura,11711
Unknown,≤100
Uttar Pradesh,148061
Uttarakhand,14066
West Bengal,78408
