Location name,Amount spent (TRY)
Adana Province,784
Adıyaman Province,110
Afyonkarahisar Province,227
Aksaray Province,183
Amasya Province,109
Ankara Province,3930
Antalya Province,948
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,497
Ağrı Province,≤100
Balıkesir Province,514
Bartın Province,≤100
Batman Province,122
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,219
Burdur Province,≤100
Bursa Province,1448
Denizli Province,377
Diyarbakır Province,307
Düzce Province,805
Edirne Province,118
Elazığ Province,124
Erzincan Province,≤100
Erzurum Province,159
Eskişehir Province,372
Gaziantep Province,691
Giresun Province,188
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,686
Isparta Province,158
Istanbul Province,11637
Iğdır Province,≤100
Kahramanmaraş Province,315
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,112
Kayseri Province,502
Kilis Province,≤100
Kocaeli Province,586
Konya Province,2881
Kütahya Province,177
Kırklareli Province,144
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,178
Manisa Province,649
Mardin Province,185
Mersin Province,1242
Muğla Province,912
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,103
Ordu Province,344
Osmaniye Province,149
Rize Province,128
Sakarya Province,316
Samsun Province,1000
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,161
Tekirdağ Province,420
Tokat Province,497
Trabzon Province,335
Tunceli Province,≤100
Unknown,≤100
Uşak Province,147
Van Province,152
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,8820
Çanakkale Province,228
Çankırı Province,≤100
Çorum Province,164
İzmir Province,1806
Şanlıurfa Province,398
Şırnak Province,≤100
