Page ID,Page name,Disclaimer,Amount spent (HTG),Number of ads in Library
102014645867869,lipalot.ht,These ads ran without a disclaimer,774,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,145,2
106029341955124,Livre - L'Organisation mondiale des douanes,These ads ran without a disclaimer,≤100,1
104445971773668,TAIHEN Việc Làm,These ads ran without a disclaimer,≤100,2
116492334660479,littlemisscaribbean_queen,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
607528002785540,Rio Veradonir,These ads ran without a disclaimer,≤100,1
563065237146155,Latindadd,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
716810658495271,Kaylee Walker,These ads ran without a disclaimer,≤100,1
446295892120473,Cosveticschool by Svetlana Smolyansky,These ads ran without a disclaimer,≤100,1
109802977882725,Brilliant Talk,These ads ran without a disclaimer,≤100,1
106827194681183,Africa Equity Media,These ads ran without a disclaimer,≤100,1
1722520228078847,Female Invest,These ads ran without a disclaimer,≤100,1
