Location name,Amount spent (MXN)
Aguascalientes,9780
Baja California,17491
Baja California Sur,5333
Campeche,10399
Chiapas,13395
Chihuahua,33118
Coahuila de Zaragoza,41412
Colima,4704
Distrito Federal,70604
Durango,5161
Guanajuato,84425
Guerrero,7839
Hidalgo,8376
Jalisco,35115
Michoacán de Ocampo,13660
Morelos,11912
Nayarit,3982
Nuevo León,62753
Oaxaca,9486
Puebla,29845
Querétaro Arteaga,16516
Quintana Roo,19375
San Luis Potosi,13501
Sinaloa,7831
Sonora,13601
State of Mexico,162172
Tabasco,9095
Tamaulipas,25212
Tlaxcala,3010
Unknown,≤100
Veracruz,20332
Yucatán,18916
Zacatecas,5452
